Name,Age,Gender,Location,Social Media Purchases,Online Presence
John,15,Male,Cork,"(Video Games, Runners)","(Youtube, TikTok)"
Alison,35,Female,Dublin,"(Skincare, Loungewear)","(Instagram, Email)"
Riley,17,Prefer not to say,Galway,"(Shoes, Clothes)","(Snapchat, TikTok)"
Tara,21,Female,Cork,"(Books, Video Games)","(TikTok, X)"
Eoghan,39,Male,Galway,"(Race tickets, Gifts)","(Facebook, Email)"
Anna,15,Female,Dublin,"(Loungewear, Dog Treats)","(Snapchat, Youtube)"
Jordan,16,Prefer not to say,Cork,"(Skincare, Runners)","(TikTok, Youtube)"
Emily,14,Female,Galway,"(Dog Treats, Shoes)","(Snapchat, TikTok)"
Caoimhe,29,Female,Cork,"(Gig tickets, Clothes)","(Instagram, Youtube)"
Ahmed,17,Male,Galway,"(Clothes, Video Games)","(X, Snapchat)"
